MedInc,HouseAge,AveRooms,AveBedrms,Population,Price
8.3252,41.0,6.984126,1.023809,322.0,4.526
8.3014,21.0,6.238137,0.97188,2401.0,3.585
7.2574,52.0,8.288136,1.073446,496.0,3.521
5.6431,52.0,5.817351,1.073059,558.0,3.413
3.8462,52.0,6.281853,1.081081,565.0,3.422
4.0368,52.0,4.761658,1.103626,413.0,2.697
3.6591,52.0,4.931034,0.951724,1094.0,2.992
3.12,52.0,4.780856,1.017632,1157.0,2.414
2.0804,42.0,4.294118,1.018518,1206.0,2.267
3.6912,52.0,4.970588,0.990196,1551.0,2.611
3.2031,52.0,4.754985,1.017094,910.0,2.815
3.2705,52.0,4.77248,1.024475,1504.0,2.418
3.075,52.0,5.32265,1.01282,1098.0,2.135
2.6736,52.0,4.0,1.017777,345.0,1.913
1.9167,52.0,4.2699,1.009708,1212.0,1.592
2.125,52.0,4.474026,1.021645,697.0,1.4
2.775,52.0,5.939777,1.048701,3135.0,1.525
2.1202,52.0,4.052805,1.066006,648.0,1.555
2.5714,52.0,5.19,1.033333,990.0,1.587
1.8036,52.0,5.465454,1.112727,690.0,1.629
1.3578,40.0,4.524096,1.108433,409.0,1.475
1.7135,42.0,4.478142,1.043715,1152.0,1.592
1.808,52.0,5.096234,1.131799,1015.0,1.139
2.6033,52.0,5.148402,1.036529,853.0,1.152
2.4597,52.0,5.311111,1.085024,1343.0,1.306
2.575,41.0,5.152853,1.042183,1102.0,1.073
2.4597,49.0,5.126262,1.027777,1007.0,1.068
1.608,52.0,5.140845,1.081447,1104.0,1.083
1.6559,50.0,4.201729,1.040345,712.0,1.052
1.6875,52.0,4.838056,1.05668,1095.0,1.32
1.9274,52.0,5.0,1.048543,1107.0,1.075
1.4103,52.0,4.981884,1.130434,1151.0,1.088
2.3176,48.0,4.808,1.104,1152.0,1.042
1.375,52.0,4.851851,1.111111,910.0,1.049
1.5147,49.0,4.685314,1.048951,852.0,1.081
1.375,49.0,4.542253,1.070422,1104.0,1.052
1.0962,51.0,3.956656,1.164086,1007.0,1.056
1.1414,41.0,4.515923,1.121019,775.0,1.054
1.4167,52.0,4.294117,1.026143,1011.0,1.063
1.5474,52.0,4.981012,1.088607,1152.0,1.083
3.1316,52.0,5.613333,1.04,1015.0,1.529
3.0062,52.0,5.185,1.025,1001.0,1.501
3.2431,52.0,5.657894,1.048245,1152.0,1.555
3.9527,50.0,5.922413,1.021551,1404.0,1.889
3.075,52.0,5.191304,1.030434,853.0,1.844
2.6736,52.0,4.381443,1.097938,1343.0,1.492
2.0991,52.0,4.2694,1.046187,1102.0,1.6
2.5288,52.0,4.95707,1.032828,1007.0,1.375
1.1607,52.0,4.5108,1.08633,1104.0,1.357
1.2188,52.0,4.3908,1.04332,712.0,1.125
